date,unit_nav,cum_nav,ret_pct
2013-03-25,94.018,94.018,0.0
2013-03-26,94.259,94.259,0.2563
2013-03-27,94.235,94.235,-0.0255
2013-03-28,94.341,94.341,0.1125
2013-03-29,94.443,94.443,0.1081
2013-04-01,94.555,94.555,0.1186
2013-04-02,94.732,94.732,0.1872
2013-04-03,94.975,94.975,0.2565
2013-04-08,94.901,94.901,-0.0779
2013-04-09,94.877,94.877,-0.0253
2013-04-10,94.906,94.906,0.0306
2013-04-11,94.912,94.912,0.0063
2013-04-12,94.962,94.962,0.0527
2013-04-15,95.035,95.035,0.0769
2013-04-16,95.126,95.126,0.0958
2013-04-17,95.211,95.211,0.0894
2013-04-18,94.969,94.969,-0.2542
2013-04-19,94.72,94.72,-0.2622
2013-04-22,94.469,94.469,-0.265
2013-04-23,94.755,94.755,0.3027
2013-04-24,94.764,94.764,0.0095
2013-04-25,94.899,94.899,0.1425
2013-04-26,94.967,94.967,0.0717
2013-05-02,95.107,95.107,0.1474
2013-05-03,95.113,95.113,0.0063
2013-05-06,95.091,95.091,-0.0231
2013-05-07,95.14,95.14,0.0515
2013-05-08,95.13,95.13,-0.0105
2013-05-09,95.129,95.129,-0.0011
2013-05-10,95.162,95.162,0.0347
2013-05-13,95.131,95.131,-0.0326
2013-05-14,95.123,95.123,-0.0084
2013-05-15,95.084,95.084,-0.041
2013-05-16,94.961,94.961,-0.1294
2013-05-17,95.066,95.066,0.1106
2013-05-20,95.038,95.038,-0.0295
2013-05-21,94.96,94.96,-0.0821
2013-05-22,94.981,94.981,0.0221
2013-05-23,94.974,94.974,-0.0074
2013-05-24,94.99,94.99,0.0168
2013-05-27,95.094,95.094,0.1095
2013-05-28,95.1,95.1,0.0063
2013-05-29,95.095,95.095,-0.0053
2013-05-30,95.121,95.121,0.0273
2013-05-31,95.113,95.113,-0.0084
2013-06-03,95.099,95.099,-0.0147
2013-06-04,95.095,95.095,-0.0042
2013-06-05,95.07,95.07,-0.0263
2013-06-06,95.073,95.073,0.0032
2013-06-07,95.096,95.096,0.0242
2013-06-13,95.101,95.101,0.0053
2013-06-14,95.06,95.06,-0.0431
2013-06-17,95.031,95.031,-0.0305
2013-06-18,94.978,94.978,-0.0558
2013-06-19,94.661,94.661,-0.3338
2013-06-20,93.75,93.75,-0.9624
2013-06-21,93.921,93.921,0.1824
2013-06-24,93.949,93.949,0.0298
2013-06-25,94.514,94.514,0.6014
2013-06-26,94.923,94.923,0.4327
2013-06-27,95.023,95.023,0.1053
2013-06-28,95.058,95.058,0.0368
2013-07-01,95.051,95.051,-0.0074
2013-07-02,95.058,95.058,0.0074
2013-07-03,95.001,95.001,-0.06
2013-07-04,94.998,94.998,-0.0032
2013-07-05,95.058,95.058,0.0632
2013-07-08,95.095,95.095,0.0389
2013-07-09,94.965,94.965,-0.1367
2013-07-10,94.903,94.903,-0.0653
2013-07-11,94.329,94.329,-0.6048
2013-07-12,94.175,94.175,-0.1633
2013-07-15,94.277,94.277,0.1083
2013-07-16,94.22,94.22,-0.0605
2013-07-17,94.047,94.047,-0.1836
2013-07-18,94.035,94.035,-0.0128
2013-07-19,94.064,94.064,0.0308
2013-07-22,93.996,93.996,-0.0723
2013-07-23,94.004,94.004,0.0085
2013-07-24,93.893,93.893,-0.1181
2013-07-25,93.84,93.84,-0.0564
2013-07-26,93.909,93.909,0.0735
2013-07-29,93.97,93.97,0.065
2013-07-30,94.085,94.085,0.1224
2013-07-31,94.272,94.272,0.1988
2013-08-01,94.371,94.371,0.105
2013-08-02,94.17,94.17,-0.213
2013-08-05,94.17,94.17,0.0
2013-08-06,94.18,94.18,0.0106
2013-08-07,93.836,93.836,-0.3653
2013-08-08,93.68,93.68,-0.1662
2013-08-09,93.651,93.651,-0.031
2013-08-12,93.53,93.53,-0.1292
2013-08-13,93.36,93.36,-0.1818
2013-08-14,93.091,93.091,-0.2881
2013-08-15,93.122,93.122,0.0333
2013-08-16,93.327,93.327,0.2201
2013-08-19,92.894,92.894,-0.464
2013-08-20,92.937,92.937,0.0463
2013-08-21,92.971,92.971,0.0366
2013-08-22,92.892,92.892,-0.085
2013-08-23,93.148,93.148,0.2756
2013-08-26,93.193,93.193,0.0483
2013-08-27,93.196,93.196,0.0032
2013-08-28,92.856,92.856,-0.3648
2013-08-29,92.905,92.905,0.0528
2013-08-30,93.027,93.027,0.1313
2013-09-02,93.014,93.014,-0.014
2013-09-03,92.963,92.963,-0.0548
2013-09-04,92.904,92.904,-0.0635
2013-09-05,92.847,92.847,-0.0614
2013-09-06,92.795,92.795,-0.056
2013-09-09,92.714,92.714,-0.0873
2013-09-10,92.627,92.627,-0.0938
2013-09-11,92.292,92.292,-0.3617
2013-09-12,92.241,92.241,-0.0553
2013-09-13,92.301,92.301,0.065
2013-09-16,92.598,92.598,0.3218
2013-09-17,92.649,92.649,0.0551
2013-09-18,92.797,92.797,0.1597
2013-09-23,92.838,92.838,0.0442
2013-09-24,92.678,92.678,-0.1723
2013-09-25,92.777,92.777,0.1068
2013-09-26,93.019,93.019,0.2608
2013-09-27,92.981,92.981,-0.0409
2013-09-30,93.028,93.028,0.0505
2013-10-08,93.076,93.076,0.0516
2013-10-09,93.149,93.149,0.0784
2013-10-10,93.091,93.091,-0.0623
2013-10-11,93.077,93.077,-0.015
2013-10-14,92.895,92.895,-0.1955
2013-10-15,92.881,92.881,-0.0151
2013-10-16,92.959,92.959,0.084
2013-10-17,92.763,92.763,-0.2108
2013-10-18,92.774,92.774,0.0119
2013-10-21,92.744,92.744,-0.0323
2013-10-22,92.699,92.699,-0.0485
2013-10-23,92.74,92.74,0.0442
2013-10-24,92.577,92.577,-0.1758
2013-10-25,92.482,92.482,-0.1026
2013-10-28,92.467,92.467,-0.0162
2013-10-29,92.379,92.379,-0.0952
2013-10-30,92.328,92.328,-0.0552
2013-10-31,92.627,92.627,0.3238
2013-11-01,92.707,92.707,0.0864
2013-11-04,92.592,92.592,-0.124
2013-11-05,92.465,92.465,-0.1372
2013-11-06,92.188,92.188,-0.2996
2013-11-07,91.709,91.709,-0.5196
2013-11-08,91.326,91.326,-0.4176
2013-11-11,90.89,90.89,-0.4774
2013-11-12,91.103,91.103,0.2343
2013-11-13,90.681,90.681,-0.4632
2013-11-14,91.046,91.046,0.4025
2013-11-15,90.674,90.674,-0.4086
2013-11-18,90.504,90.504,-0.1875
2013-11-19,90.79,90.79,0.316
2013-11-20,90.87,90.87,0.0881
2013-11-21,91.06,91.06,0.2091
2013-11-22,91.413,91.413,0.3877
2013-11-25,91.332,91.332,-0.0886
2013-11-26,91.29,91.29,-0.046
2013-11-27,91.501,91.501,0.2311
2013-11-28,91.504,91.504,0.0033
2013-11-29,91.507,91.507,0.0033
2013-12-02,90.82,90.82,-0.7508
2013-12-03,91.176,91.176,0.392
2013-12-04,91.268,91.268,0.1009
2013-12-05,91.361,91.361,0.1019
2013-12-06,91.314,91.314,-0.0514
2013-12-09,91.098,91.098,-0.2365
2013-12-10,90.861,90.861,-0.2602
2013-12-11,90.855,90.855,-0.0066
2013-12-12,91.105,91.105,0.2752
2013-12-13,91.137,91.137,0.0351
2013-12-16,91.041,91.041,-0.1053
2013-12-17,90.997,90.997,-0.0483
2013-12-18,90.914,90.914,-0.0912
2013-12-19,90.766,90.766,-0.1628
2013-12-20,90.79,90.79,0.0264
2013-12-23,90.907,90.907,0.1289
2013-12-24,90.883,90.883,-0.0264
2013-12-25,90.979,90.979,0.1056
2013-12-26,91.037,91.037,0.0638
2013-12-27,90.933,90.933,-0.1142
2013-12-30,90.943,90.943,0.011
2013-12-31,91.168,91.168,0.2474
2014-01-02,90.996,90.996,-0.1887
2014-01-03,90.741,90.741,-0.2802
2014-01-06,90.553,90.553,-0.2072
2014-01-07,90.723,90.723,0.1877
2014-01-08,90.986,90.986,0.2899
2014-01-09,90.891,90.891,-0.1044
2014-01-10,90.957,90.957,0.0726
2014-01-13,91.07,91.07,0.1242
2014-01-14,90.989,90.989,-0.0889
2014-01-15,91.064,91.064,0.0824
2014-01-16,91.062,91.062,-0.0022
2014-01-17,90.92,90.92,-0.1559
2014-01-20,90.869,90.869,-0.0561
2014-01-21,91.218,91.218,0.3841
2014-01-22,91.51,91.51,0.3201
2014-01-23,91.584,91.584,0.0809
2014-01-24,91.516,91.516,-0.0742
2014-01-27,91.935,91.935,0.4578
2014-01-28,91.891,91.891,-0.0479
2014-01-29,91.855,91.855,-0.0392
2014-01-30,91.89,91.89,0.0381
2014-02-07,91.951,91.951,0.0664
2014-02-10,91.96,91.96,0.0098
2014-02-11,92.012,92.012,0.0565
2014-02-12,92.013,92.013,0.0011
2014-02-13,92.06,92.06,0.0511
2014-02-14,92.2,92.2,0.1521
2014-02-17,92.165,92.165,-0.038
2014-02-18,92.21,92.21,0.0488
2014-02-19,92.457,92.457,0.2679
2014-02-20,92.39,92.39,-0.0725
2014-02-21,92.251,92.251,-0.1504
2014-02-24,92.415,92.415,0.1778
2014-02-25,92.623,92.623,0.2251
2014-02-26,92.623,92.623,0.0
2014-02-27,92.859,92.859,0.2548
2014-02-28,92.823,92.823,-0.0388
2014-03-03,92.751,92.751,-0.0776
2014-03-04,92.39,92.39,-0.3892
2014-03-05,92.339,92.339,-0.0552
2014-03-06,92.413,92.413,0.0801
2014-03-07,92.36,92.36,-0.0574
2014-03-10,92.356,92.356,-0.0043
2014-03-11,92.425,92.425,0.0747
2014-03-12,92.432,92.432,0.0076
2014-03-13,92.7,92.7,0.2899
2014-03-14,92.741,92.741,0.0442
2014-03-17,92.842,92.842,0.1089
2014-03-18,92.654,92.654,-0.2025
2014-03-19,92.578,92.578,-0.082
2014-03-20,92.528,92.528,-0.054
2014-03-21,92.739,92.739,0.228
2014-03-24,92.747,92.747,0.0086
2014-03-25,92.694,92.694,-0.0571
2014-03-26,92.689,92.689,-0.0054
2014-03-27,92.664,92.664,-0.027
2014-03-28,92.502,92.502,-0.1748
2014-03-31,92.449,92.449,-0.0573
2014-04-01,92.398,92.398,-0.0552
2014-04-02,92.312,92.312,-0.0931
2014-04-03,92.309,92.309,-0.0032
2014-04-04,92.212,92.212,-0.1051
2014-04-08,92.287,92.287,0.0813
2014-04-09,92.379,92.379,0.0997
2014-04-10,92.487,92.487,0.1169
2014-04-11,92.744,92.744,0.2779
2014-04-14,92.841,92.841,0.1046
2014-04-15,93.166,93.166,0.3501
2014-04-16,92.856,92.856,-0.3327
2014-04-17,93.419,93.419,0.6063
2014-04-18,93.442,93.442,0.0246
2014-04-21,93.572,93.572,0.1391
2014-04-22,93.176,93.176,-0.4232
2014-04-23,93.236,93.236,0.0644
2014-04-24,92.909,92.909,-0.3507
2014-04-25,93.199,93.199,0.3121
2014-04-28,93.058,93.058,-0.1513
2014-04-29,93.175,93.175,0.1257
2014-04-30,93.512,93.512,0.3617
2014-05-05,93.646,93.646,0.1433
2014-05-06,93.733,93.733,0.0929
2014-05-07,93.59,93.59,-0.1526
2014-05-08,93.746,93.746,0.1667
2014-05-09,94.102,94.102,0.3797
2014-05-12,94.01,94.01,-0.0978
2014-05-13,93.977,93.977,-0.0351
2014-05-14,93.85,93.85,-0.1351
2014-05-15,93.935,93.935,0.0906
2014-05-16,93.942,93.942,0.0075
2014-05-19,93.878,93.878,-0.0681
2014-05-20,93.893,93.893,0.016
2014-05-21,93.84,93.84,-0.0564
2014-05-22,93.964,93.964,0.1321
2014-05-23,94.034,94.034,0.0745
2014-05-26,94.158,94.158,0.1319
2014-05-27,94.437,94.437,0.2963
2014-05-28,94.44,94.44,0.0032
2014-05-29,94.609,94.609,0.1789
2014-05-30,94.717,94.717,0.1142
2014-06-03,94.88,94.88,0.1721
2014-06-04,95.291,95.291,0.4332
2014-06-05,94.681,94.681,-0.6401
2014-06-06,94.752,94.752,0.075
2014-06-09,94.787,94.787,0.0369
2014-06-10,94.768,94.768,-0.02
2014-06-11,94.85,94.85,0.0865
2014-06-12,94.669,94.669,-0.1908
2014-06-13,94.626,94.626,-0.0454
2014-06-16,95.025,95.025,0.4217
2014-06-17,94.813,94.813,-0.2231
2014-06-18,94.826,94.826,0.0137
2014-06-19,94.79,94.79,-0.038
2014-06-20,94.879,94.879,0.0939
2014-06-23,94.889,94.889,0.0105
2014-06-24,95.134,95.134,0.2582
2014-06-25,95.104,95.104,-0.0315
2014-06-26,94.91,94.91,-0.204
2014-06-27,94.831,94.831,-0.0832
2014-06-30,94.776,94.776,-0.058
2014-07-01,94.676,94.676,-0.1055
2014-07-02,94.598,94.598,-0.0824
2014-07-03,94.614,94.614,0.0169
2014-07-04,94.612,94.612,-0.0021
2014-07-07,94.57,94.57,-0.0444
2014-07-08,94.227,94.227,-0.3627
2014-07-09,93.935,93.935,-0.3099
2014-07-10,93.573,93.573,-0.3854
2014-07-11,94.302,94.302,0.7791
2014-07-14,94.408,94.408,0.1124
2014-07-15,94.33,94.33,-0.0826
2014-07-16,94.094,94.094,-0.2502
2014-07-17,93.785,93.785,-0.3284
2014-07-18,93.753,93.753,-0.0341
2014-07-21,93.805,93.805,0.0555
2014-07-22,93.895,93.895,0.0959
2014-07-23,93.904,93.904,0.0096
2014-07-24,93.864,93.864,-0.0426
2014-07-25,94.027,94.027,0.1737
2014-07-28,94.024,94.024,-0.0032
2014-07-29,94.0,94.0,-0.0255
2014-07-30,94.176,94.176,0.1872
2014-07-31,94.196,94.196,0.0212
