date,open,close,high,low,vol
2019-05-06,0.122,0.104,0.142,0.104,184842.000
2019-05-07,0.108,0.126,0.131,0.108,203258.000
2019-05-08,0.120,0.127,0.138,0.113,219402.000
2019-05-09,0.119,0.108,0.125,0.101,222401.000
2019-05-10,0.114,0.134,0.138,0.113,290585.000
2019-05-13,0.133,0.136,0.141,0.121,248063.000
2019-05-14,0.125,0.132,0.140,0.125,148898.000
2019-05-15,0.136,0.16,0.162,0.136,1168682.000
2019-05-16,0.157,0.166,0.170,0.151,498980.000
2019-05-17,0.164,0.15,0.169,0.146,407515.000
2019-05-20,0.150,0.138,0.150,0.127,292635.000
2019-05-21,0.139,0.146,0.151,0.128,278966.000
2019-05-22,0.145,0.14,0.147,0.135,330625.000
2019-05-23,0.135,0.123,0.139,0.120,293914.000
2019-05-24,0.121,0.129,0.135,0.121,199727.000
2019-05-27,0.127,0.133,0.134,0.119,320208.000
2019-05-28,0.132,0.133,0.141,0.128,266245.000
2019-05-29,0.132,0.139,0.144,0.130,201843.000
2019-05-30,0.139,0.136,0.141,0.128,233045.000
2019-05-31,0.136,0.13,0.136,0.127,177042.000
2019-06-03,0.132,0.125,0.135,0.123,310763.000
2019-06-04,0.125,0.112,0.126,0.110,285965.000
2019-06-05,0.116,0.113,0.119,0.111,141509.000
2019-06-06,0.118,0.108,0.118,0.106,158160.000
2019-06-10,0.108,0.117,0.120,0.101,208043.000
2019-06-11,0.117,0.141,0.144,0.117,402545.000
2019-06-12,0.138,0.135,0.141,0.132,158733.000
2019-06-13,0.135,0.133,0.136,0.126,145495.000
2019-06-14,0.130,0.128,0.140,0.126,159794.000
2019-06-17,0.126,0.125,0.131,0.120,142286.000
2019-06-18,0.126,0.125,0.128,0.119,101080.000
2019-06-19,0.140,0.132,0.143,0.131,199079.000
2019-06-20,0.132,0.152,0.155,0.130,359505.000
2019-06-21,0.152,0.157,0.160,0.148,247011.000
2019-06-24,0.155,0.164,0.172,0.152,385853.000
2019-06-25,0.161,0.164,0.168,0.152,243322.000
2019-06-26,0.158,0.164,0.165,0.158,158928.000
2019-06-27,0.163,0.182,0.187,0.163,503121.000
2019-06-28,0.179,0.182,0.187,0.175,283866.000
2019-07-01,0.195,0.209,0.210,0.191,261430.000
2019-07-02,0.204,0.209,0.213,0.201,232742.000
2019-07-03,0.207,0.198,0.219,0.191,328240.000
2019-07-04,0.192,0.19,0.199,0.182,222546.000
2019-07-05,0.189,0.203,0.207,0.188,246398.000
2019-07-08,0.200,0.192,0.201,0.184,248981.000
2019-07-09,0.190,0.196,0.207,0.190,215072.000
2019-07-10,0.196,0.198,0.203,0.195,130870.000
2019-07-11,0.200,0.192,0.204,0.190,212125.000
2019-07-12,0.190,0.199,0.201,0.190,187492.000
2019-07-15,0.195,0.195,0.196,0.180,200496.000
2019-07-16,0.194,0.188,0.197,0.186,176170.000
2019-07-17,0.187,0.187,0.191,0.183,130029.000
2019-07-18,0.182,0.178,0.187,0.177,184109.000
2019-07-19,0.180,0.183,0.187,0.178,127364.000
2019-07-22,0.184,0.18,0.185,0.176,200973.000
2019-07-23,0.180,0.174,0.180,0.165,186978.000
2019-07-24,0.172,0.173,0.178,0.171,205300.000
2019-07-25,0.173,0.18,0.180,0.165,314048.000
2019-07-26,0.176,0.178,0.183,0.173,199828.000
2019-07-29,0.179,0.184,0.185,0.176,203739.000
2019-07-30,0.184,0.182,0.186,0.179,156638.000
2019-07-31,0.180,0.173,0.184,0.172,200238.000
2019-08-01,0.170,0.165,0.173,0.162,191477.000
2019-08-02,0.152,0.16,0.163,0.152,229761.000
2019-08-05,0.155,0.151,0.162,0.150,171361.000
2019-08-06,0.145,0.155,0.157,0.138,291943.000
2019-08-07,0.159,0.153,0.160,0.152,97291.000
2019-08-08,0.153,0.163,0.165,0.153,211180.000
2019-08-09,0.167,0.155,0.168,0.153,127407.000
2019-08-12,0.161,0.169,0.170,0.161,307793.000
2019-08-13,0.166,0.167,0.168,0.163,113398.000
2019-08-14,0.173,0.18,0.182,0.172,173602.000
2019-08-15,0.171,0.178,0.178,0.168,178153.000
2019-08-16,0.177,0.187,0.193,0.175,219765.000
2019-08-19,0.190,0.193,0.194,0.183,251713.000
2019-08-20,0.193,0.199,0.200,0.188,163809.000
2019-08-21,0.199,0.193,0.200,0.192,148122.000
2019-08-22,0.194,0.205,0.206,0.194,202702.000
2019-08-23,0.204,0.205,0.209,0.200,158673.000
2019-08-26,0.196,0.194,0.199,0.191,210244.000
2019-08-27,0.198,0.207,0.211,0.198,166774.000
2019-08-28,0.206,0.206,0.216,0.199,162222.000
2019-08-29,0.207,0.213,0.215,0.204,125823.000
2019-08-30,0.215,0.225,0.234,0.214,398563.000
2019-09-02,0.225,0.227,0.227,0.213,235199.000
2019-09-03,0.225,0.221,0.228,0.214,303865.000
2019-09-04,0.217,0.214,0.221,0.208,257039.000
2019-09-05,0.213,0.217,0.221,0.213,257201.000
2019-09-06,0.218,0.216,0.218,0.208,161429.000
2019-09-09,0.216,0.216,0.220,0.214,166096.000
2019-09-10,0.214,0.214,0.218,0.209,145679.000
2019-09-11,0.212,0.193,0.214,0.190,623697.000
2019-09-12,0.190,0.201,0.204,0.189,410857.000
2019-09-16,0.200,0.199,0.203,0.194,150206.000
2019-09-17,0.198,0.199,0.205,0.196,182046.000
2019-09-18,0.200,0.219,0.220,0.200,469108.000
2019-09-19,0.217,0.22,0.221,0.210,263670.000
2019-09-20,0.220,0.222,0.228,0.218,227881.000
