date,close
2015-07-13,0.958
2015-07-14,0.967
2015-07-15,0.963
2015-07-16,0.966
2015-07-17,0.989
2015-07-20,0.99
2015-07-21,0.994
2015-07-22,1.002
2015-07-23,1.006
2015-07-24,1.007
2015-07-27,0.993
2015-07-28,0.978
2015-07-29,0.988
2015-07-30,0.988
2015-07-31,0.985
2015-08-03,0.991
2015-08-04,0.988
2015-08-05,0.986
2015-08-06,0.991
2015-08-07,0.98
2015-08-10,0.975
2015-08-11,1.004
2015-08-12,0.992
2015-08-13,0.999
2015-08-14,1.0
2015-08-17,0.993
2015-08-18,0.998
2015-08-19,0.995
2015-08-20,0.989
2015-08-21,0.944
2015-08-24,0.862
2015-08-25,0.855
2015-08-26,0.86
2015-08-27,0.899
2015-08-28,0.921
2015-08-31,0.929
2015-09-01,0.909
2015-09-02,0.898
2015-09-07,0.91
2015-09-08,0.915
2015-09-09,0.92
2015-09-10,0.914
2015-09-11,0.92
2015-09-14,0.929
2015-09-15,0.912
2015-09-16,0.94
2015-09-17,0.941
2015-09-18,0.948
2015-09-21,0.933
2015-09-22,0.935
2015-09-23,0.926
2015-09-24,0.915
2015-09-25,0.915
2015-09-28,0.906
2015-09-29,0.871
2015-09-30,0.878
2015-10-08,0.924
2015-10-09,0.927
2015-10-12,0.929
2015-10-13,0.93
2015-10-14,0.929
2015-10-15,0.926
2015-10-16,0.941
2015-10-19,0.942
2015-10-20,0.949
2015-10-21,0.945
2015-10-22,0.94
2015-10-23,0.97
2015-10-26,0.985
2015-10-27,0.983
2015-10-28,0.989
2015-10-29,0.997
2015-10-30,0.996
2015-11-02,0.986
2015-11-03,0.999
2015-11-04,1.0
2015-11-05,0.994
2015-11-06,1.0
2015-11-09,1.002
2015-11-10,0.992
2015-11-11,0.99
2015-11-12,0.989
2015-11-13,0.986
2015-11-16,0.969
2015-11-17,0.977
2015-11-18,0.978
2015-11-19,1.0
2015-11-20,0.998
2015-11-23,1.0
2015-11-24,1.005
2015-11-25,0.997
2015-11-26,1.003
2015-11-27,1.002
2015-11-30,0.999
2015-12-01,1.006
2015-12-02,1.017
2015-12-03,1.002
2015-12-04,0.995
2015-12-07,1.005
2015-12-08,1.001
2015-12-09,1.008
2015-12-10,0.997
2015-12-11,1.002
2015-12-14,0.986
2015-12-15,0.985
2015-12-16,0.994
2015-12-17,1.002
2015-12-18,0.997
2015-12-21,0.989
2015-12-22,0.988
2015-12-23,0.988
2015-12-24,0.996
2015-12-25,0.994
2015-12-28,0.991
2015-12-29,0.993
2015-12-30,1.004
2015-12-31,1.006
2016-01-04,0.996
2016-01-05,0.977
2016-01-06,0.979
2016-01-07,0.968
2016-01-08,0.965
2016-01-11,0.935
2016-01-12,0.955
2016-01-13,0.961
2016-01-14,0.94
2016-01-15,0.941
2016-01-18,0.938
2016-01-19,0.932
2016-01-20,0.914
2016-01-21,0.914
2016-01-22,0.917
2016-01-25,0.918
2016-01-26,0.91
2016-01-27,0.91
2016-01-28,0.906
2016-01-29,0.918
2016-02-01,0.923
2016-02-02,0.931
2016-02-03,0.917
2016-02-04,0.916
2016-02-05,0.916
2016-02-15,0.891
2016-02-16,0.905
2016-02-17,0.918
2016-02-18,0.911
2016-02-19,0.911
2016-02-22,0.914
2016-02-23,0.922
2016-02-24,0.914
2016-02-25,0.914
2016-02-26,0.923
2016-02-29,0.911
2016-03-01,0.914
2016-03-02,0.934
2016-03-03,0.94
2016-03-04,0.944
2016-03-07,0.942
2016-03-08,0.937
2016-03-09,0.929
2016-03-10,0.934
2016-03-11,0.934
2016-03-14,0.943
2016-03-15,0.94
2016-03-16,0.94
2016-03-17,0.953
2016-03-18,0.95
2016-03-21,0.95
2016-03-22,0.943
2016-03-23,0.95
2016-03-24,0.939
2016-03-25,0.941
2016-03-28,0.942
2016-03-29,0.943
2016-03-30,0.955
2016-03-31,0.948
2016-04-01,0.953
2016-04-05,0.957
2016-04-06,0.955
2016-04-07,0.962
2016-04-08,0.955
2016-04-11,0.953
2016-04-12,0.951
2016-04-13,0.954
2016-04-14,0.966
2016-04-15,0.969
2016-04-18,0.955
2016-04-19,0.973
2016-04-20,0.961
2016-04-21,0.967
2016-04-22,0.963
2016-04-25,0.966
2016-04-26,0.966
2016-04-27,0.961
2016-04-28,0.953
2016-04-29,0.949
2016-05-03,0.941
2016-05-04,0.936
2016-05-05,0.936
2016-05-06,0.926
2016-05-09,0.933
2016-05-10,0.94
2016-05-11,0.947
2016-05-12,0.945
2016-05-13,0.94
2016-05-16,0.933
2016-05-17,0.944
2016-05-18,0.935
2016-05-19,0.935
2016-05-20,0.936
2016-05-23,0.949
2016-05-24,0.945
2016-05-25,0.958
2016-05-26,0.967
2016-05-27,0.969
2016-05-30,0.976
2016-05-31,0.978
2016-06-01,0.978
2016-06-02,0.975
2016-06-03,0.988
2016-06-06,0.976
2016-06-07,0.979
2016-06-08,0.978
2016-06-13,0.97
2016-06-14,0.961
2016-06-15,0.962
2016-06-16,0.957
2016-06-17,0.961
2016-06-20,0.969
2016-06-21,0.966
2016-06-22,0.961
2016-06-23,0.965
2016-06-24,0.953
2016-06-27,0.957
2016-06-28,0.947
2016-06-29,0.952
2016-06-30,0.969
2016-07-01,0.97
2016-07-04,0.966
2016-07-05,0.965
2016-07-06,0.968
2016-07-07,0.968
2016-07-08,0.974
2016-07-11,0.988
2016-07-12,0.993
2016-07-13,1.006
2016-07-14,1.013
2016-07-15,1.02
2016-07-18,1.019
2016-07-19,1.014
2016-07-20,1.018
2016-07-21,1.03
2016-07-22,1.016
2016-07-25,1.025
2016-07-26,1.031
2016-07-27,1.028
2016-07-28,1.041
2016-07-29,1.036
2016-08-01,1.041
2016-08-02,1.05
2016-08-03,1.033
2016-08-04,1.038
2016-08-05,1.035
2016-08-08,1.049
2016-08-09,1.053
2016-08-10,1.048
2016-08-11,1.048
2016-08-12,1.053
2016-08-15,1.05
2016-08-16,1.052
2016-08-17,1.048
2016-08-18,1.049
2016-08-19,1.049
2016-08-22,1.049
2016-08-23,1.052
2016-08-24,1.062
2016-08-25,1.053
2016-08-26,1.053
2016-08-29,1.052
2016-08-30,1.056
2016-08-31,1.056
2016-09-01,1.054
2016-09-02,1.056
2016-09-05,1.059
2016-09-06,1.059
2016-09-07,1.065
2016-09-08,1.065
2016-09-09,1.063
2016-09-12,1.037
2016-09-13,1.041
2016-09-14,1.046
2016-09-19,1.06
2016-09-20,1.054
2016-09-21,1.06
2016-09-22,1.065
2016-09-23,1.077
2016-09-26,1.066
2016-09-27,1.074
2016-09-28,1.074
2016-09-29,1.075
2016-09-30,1.071
2016-10-10,1.076
2016-10-11,1.088
2016-10-12,1.083
2016-10-13,1.082
2016-10-14,1.084
2016-10-17,1.081
2016-10-18,1.083
2016-10-19,1.084
2016-10-20,1.089
2016-10-21,1.091
2016-10-24,1.092
2016-10-25,1.104
2016-10-26,1.1
2016-10-27,1.099
2016-10-28,1.096
2016-10-31,1.088
2016-11-01,1.09
2016-11-02,1.077
2016-11-03,1.073
2016-11-04,1.065
2016-11-07,1.075
2016-11-08,1.083
2016-11-09,1.055
2016-11-10,1.088
2016-11-11,1.072
2016-11-14,1.075
2016-11-15,1.074
2016-11-16,1.101
2016-11-17,1.098
2016-11-18,1.099
2016-11-21,1.098
2016-11-22,1.115
2016-11-23,1.118
2016-11-24,1.121
2016-11-25,1.131
2016-11-28,1.162
2016-11-29,1.132
2016-11-30,1.15
2016-12-01,1.117
2016-12-02,1.097
2016-12-05,1.096
2016-12-06,1.108
2016-12-07,1.112
2016-12-08,1.143
2016-12-09,1.124
2016-12-12,1.137
2016-12-13,1.136
2016-12-14,1.163
2016-12-15,1.158
2016-12-16,1.162
2016-12-19,1.162
2016-12-20,1.17
2016-12-21,1.214
2016-12-22,1.223
2016-12-23,1.221
2016-12-26,1.291
2016-12-27,1.285
2016-12-28,1.272
2016-12-29,1.256
2016-12-30,1.261
2017-01-03,1.242
2017-01-04,1.22
2017-01-05,1.203
2017-01-06,1.18
2017-01-09,1.185
2017-01-10,1.197
2017-01-11,1.229
2017-01-12,1.259
2017-01-13,1.239
2017-01-16,1.242
2017-01-17,1.249
2017-01-18,1.233
2017-01-19,1.215
2017-01-20,1.213
2017-01-23,1.208
2017-01-24,1.199
2017-01-25,1.209
2017-01-26,1.262
